,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
262,Samsung,Galaxy,2.96,4,32,7100,10.28,22990
263,Samsung,Galaxy,96.0,4,64,8040,10.28,20999
264,Vivo,Pad,3.2,4,128,7040,10.4,28990
265,Realme,Pad,2.0,4,64,5299,10.28,14999
266,Realme,Pad,2.2,8,256,8040,14.6,27999
267,Xiaomi,Mi,2.0,3,64,7100,10.95,28448
268,Apple,iPad,2.65,6,128,8340,10.2,62900
269,Realme,Pad,65.0,6,128,8720,12.4,19999
270,Xiaomi,Pad,3.2,6,256,7100,10.36,34999
271,Samsung,Galaxy,2.0,6,64,8720,10.4,111999
272,Xiaomi,Mi,2.84,4,64,5299,10.28,28448
273,Realme,Pad,84.0,12,64,11200,10.61,16490
274,Samsung,Galaxy,2.96,4,256,8340,10.61,32999
275,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
276,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
277,Motorola,Moto,2.2,4,64,5299,10.28,19999
278,Lenovo,Tab,96.0,8,128,8600,10.4,23999
279,Xiaomi,Redmi,2.3,6,128,10090,10.58,19499
280,Realme,Pad,3.0,6,64,8720,10.5,25999
281,Apple,iPad,2.2,4,64,8200,10.4,28990
282,Xiaomi,Mi,2.0,4,128,7040,10.95,39999
283,OnePlus,Pad,2.2,4,128,8000,10.9,39999
284,Xiaomi,Mi,2.0,6,64,8000,10.4,29107
285,Nokia,T21,2.2,4,64,7100,14.6,18999
286,Samsung,Galaxy,2.0,4,64,5299,10.28,25999
287,Xiaomi,Redmi,2.2,4,128,5299,10.28,16999
288,Xiaomi,Redmi,3.2,4,64,8040,10.95,19499
289,Realme,Pad,2.0,4,32,7040,10.2,16490
290,Samsung,Galaxy,2.2,8,128,8040,12.4,22990
291,Samsung,Galaxy,2.0,3,256,7100,10.36,20999
292,Vivo,Pad,2.96,6,64,8340,10.4,28990
293,Realme,Pad,96.0,6,128,8720,10.61,14999
294,Realme,Pad,3.2,6,128,7100,10.61,27999
295,Xiaomi,Mi,2.0,6,256,8720,10.4,28448
296,Apple,iPad,2.2,12,64,11200,10.58,62900
297,Realme,Pad,2.0,4,64,8340,10.5,19999
298,Xiaomi,Pad,2.65,8,256,8600,10.4,34999
