,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
248,APPLE,iPad,10th Gen) 256 GB ROM 10.9 inch with Wi-Fi+5G ,2,64,7000,27.69,72499
249,Swipe,Slate,Space Grey),2,64,2685,25.65,11999
250,Nokia,T10,Blue),4,32,5500,20.32,11499
251,Nokia,Tab,Blue),3,128,6000,26.31,14999
252,DOMO,Slate,Black),3,512,5000,20.32,8590
253,I,Kall,Blue),2,16,5250,17.78,3799
254,Lenovo,M10,Slate Black),4,512,4080,25.5,11999
255,TCL,Tab,Grey),2,64,2685,25.65,10999
256,DOMO,Slate,Grey),2,16,2685,25.65,11990
257,LAVA,Aura,Grey),2,16,2685,20.32,10999
258,Lenovo,M8,2nd Gen) 3 GB RAM 32 GB ROM 8 inches with Wi-Fi Only Tablet ,2,128,2685,20.32,10999
259,Swipe,Slate,Gold),2,64,2685,25.65,12763
260,Swipe,X1,Space Grey),3,64,7000,25.65,15999
261,Wishtel,IRA,Black),4,32,10090,25.4,16499
262,Lenovo,Tab,"4 GB, 128 GB, Wi-Fi) With Keyboard and Active Pen and Windows Pro OS 4 GB RAM...",4,64,2580,25.65,27999
263,Wishtel,IRA,Bl...,2,32,2685,25.4,8000
264,iball,iTAB,Coal Black),3,256,4100,25.65,13999
265,APPLE,iPad,8th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only ,3,64,4200,25.91,29900
266,APPLE,iPad,10th Gen) 256 GB ROM 10.9 inch with Wi-Fi+5G ,2,32,8200,27.69,72499
267,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,4,32,10090,35.56,61790
268,Nokia,T10,Blue),2,4,7000,20.32,11499
269,I,Kall,Blue),8,32,6000,17.78,3799
270,DOMO,Slate,Black),5,32,5250,20.32,8590
271,TCL,Tab,Grey),2,64,8200,25.65,10999
272,Swipe,Slate,Space Grey),2,32,4020,25.65,11999
273,DOMO,Slate,Grey),16,32,7000,25.65,11990
274,LAVA,Aura,Grey),2,64,2685,20.32,10999
275,Swipe,Slate,Gold),4,32,8000,25.65,12763
276,Swipe,X1,Space Grey),2,64,5020,25.65,15999
277,Wishtel,IRA,Black),2,64,2685,25.4,16499
278,Lenovo,Tab,"4 GB, 128 GB, Wi-Fi) With Keyboard and Active Pen and Windows Pro OS 4 GB RAM...",2,128,2685,25.65,27999
279,Lenovo,M8,2nd Gen) 3 GB RAM 32 GB ROM 8 inches with Wi-Fi Only Tablet ,4,32,5100,20.32,10999
